date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-14 13:07:48,Linksfraktion,,0,2,7,"Sabine Zimmermann: #Kinderarmut ist immer die Armut der Eltern, noch verschärft durch die #Corona-Pandemie. Damit die #Bundesregierung die #Familien nicht vergisst, fordert DIE #LINKE. einen #Kindergipfel",,,#Kinderarmut #Corona #Bundesregierung #Familien #LINKE #Kindergipfel,1260919743185399808,https://twitter.com/Linksfraktion/status/1260919743185399808
2020-05-14 11:10:45,Linksfraktion,,0,5,19,"#Ungarn sei derzeit das negativste Beispiel für den Missbrauch der #Corona Pandemie zur Einschränkung von Grundrechten. CDU und CSU stützen weiter ihren Parteifreund Viktor Orbán, der hierfür die Verantwortung trägt. Kritisiert @AndrejHunko",,@AndrejHunko,#Ungarn #Corona,1260890288408723459,https://twitter.com/Linksfraktion/status/1260890288408723459
2020-05-14 11:07:39,AfDimBundestag,,7,17,63,"""Die Ursachen der Eurokrise gab es schon lange vor #Corona!"", @PeterBoehringer, Vorsitzender im Haushaltsausschuss. #AfD #Bundestag #coronavirusdeutschland",,@PeterBoehringer,#Corona #AfD #Bundestag #coronavirusdeutschland,1260889506863026183,https://twitter.com/AfDimBundestag/status/1260889506863026183
2020-05-14 10:36:41,Linksfraktion,,6,19,84,"Erneut versäumen #CDU und #SPD den Ärmsten in der #krise beizustehen. @katjakipping hingegen macht Druck für einen #Corona Aufschlag auf alle Sozialleistungen und für eine Erhöhung des Kurzarbeitergeldes auf 90% ",,@katjakipping,#CDU #SPD #krise #Corona,1260881714982858752,https://twitter.com/Linksfraktion/status/1260881714982858752
2020-05-14 09:25:48,AfDimBundestag,,20,18,45,"Aufgrund von #Corona droht ein Steuereinnahmedefizit von 100 Mrd Euro für 2020. Die gesetzlichen Krankenkassen rechnen mit Mindereinnahmen über 14 Mrd Euro. Dazu @Witt_Uwe: ""Krankenkassen droht Milliardenloch durch #COVID19!"" #AfD #Bundestag #Coronakrise",,@Witt_Uwe,#Corona #COVID19 #AfD #Bundestag #Coronakrise,1260863876360527872,https://twitter.com/AfDimBundestag/status/1260863876360527872
2020-05-14 08:38:21,AfDimBundestag,,12,28,85,"Aus dem #BMI wurde ein umfassender Bericht einschließlich Anlagen, der Einschätzung zu den Maßnahmen in Bezug zur #Corona-Krise veröffentlicht. Dazu Detlev Spangenberg: ""#Merkel ignorant geg. wissenschaftlicher Ausarbeitung!"" #coronavirusdeutschland #AfD",,,#BMI #Corona #Merkel #coronavirusdeutschland #AfD,1260851933390217216,https://twitter.com/AfDimBundestag/status/1260851933390217216
2020-05-13 18:03:14,AfDimBundestag,,63,123,512,"Keine neuen Steuern und Abgaben wegen Corona? Wir werden Sie dran erinnern, Frau Bundeskanzlerin! @Tino_Chrupalla #Merkel #AfD #Bundestag",,@Tino_Chrupalla,#Merkel #AfD #Bundestag,1260631706744369158,https://twitter.com/AfDimBundestag/status/1260631706744369158
2020-05-13 13:18:18,AfDimBundestag,,4,41,113,"Die geplante Rentenerhöhung soll nach Ansicht des Finanzwissenschaftlers Raffelhüschen wegen der #Corona-Krise gestoppt werden. Dazu @ulschzi: ""Rentner für Fehlentscheidungen der #Bundesregierung nicht verantwortlich – #Rentenerhöhung muss kommen!"" #AfD",,@ulschzi,#Corona #Bundesregierung #Rentenerh #AfD,1260559998410805249,https://twitter.com/AfDimBundestag/status/1260559998410805249
2020-05-13 09:13:50,AfDimBundestag,,6,18,70,"Die #AfD-Fraktion wird den Antrag „Negativfolgen der #Corona-Maßnahmen auf das #Gastronomie-Gewerbe eindämmen – Einen fairen und einheitlichen Umsatzsteuersatz auf Lebensmittel einführen“ einbringen. Dazu @KayGottschalk1: ""Gastronomen dauerhaft entlasten!"" https://www.afdbundestag.de/gottschalk-gastronomen-dauerhaft-entlasten/?fbclid=IwAR3eo6f0P00IeTywuM3cQVSfc28h_mW_VAgzR7TQ15Yx-A_KtDvGTzUUqIE",,@KayGottschalk1,#AfD #Corona #Gastronomie,1260498477441789956,https://twitter.com/AfDimBundestag/status/1260498477441789956
2020-05-12 14:52:24,Linksfraktion,,8,21,96,"Schlachthöfe haben sich in #Deutschland zu #Corona-Brennpunkten entwickelt. @Amira_M_Ali verurteilte die #Arbeitsbedingungen dort im heutigen Pressestatement scharf. Die skrupellose #Profitmaximierung müsse gestoppt werden. Das ganze Statement: https://www.youtube.com/watch?v=aep7Iq0SoDg",,@Amira_M_Ali,#Deutschland #Corona #Arbeitsbedingungen #Profitmaximierung,1260221294156578817,https://twitter.com/Linksfraktion/status/1260221294156578817
